study,bullet_dir,filename,bullet_code
Glock GMB BBL,Brass/Bullet 1,Glock GMB BBL - Brass - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,glck.b.1
Glock GMB BBL,Brass/Bullet 2,Glock GMB BBL - Brass - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,glck.b.2
Glock GMB BBL,Copper Scan 2/Bullet 1,Glock GMB BBL - Copper - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20%- threshold 2 - resolution 4 - Anyesha Ray.x3p,glck.c.1
Glock GMB BBL,Copper/Bullet 1,Glock GMB BBL - Copper - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p,glck.c.1
Glock GMB BBL,Copper/Bullet 2,Glock GMB BBL - Copper - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mya Fisher.x3p,glck.c.2
