study,bullet_dir,filename,bullet_code
Hamby 224 Clone,Test Set 3/Barrel 3/Bullet 2,HS224 Clone - Test Set 3 - Barrel 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.3.3.2
Hamby 224 Clone,Test Set 3/Bullet F,HS224 Clone - Test Set 3 - Bullet F - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.3.U.F
Hamby 224 Clone,Test Set 4/Barrel 4/Bullet 1,HS224 Clone - Test Set 4 - Barrel 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.4.4.1
Hamby 224 Clone,Test Set 4/Barrel 4/Bullet 2,HS224 Clone - Test Set 4 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.4.4.2
Hamby 224 Clone,Test Set 4/Bullet V,HS224 Clone - Test Set 4 - Bullet V - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb224c.4.U.V
Hamby 224 Clone,Test Set 5/Barrel 5/Bullet 1,HS224 Clone - Test Set 5 - Barrel 5 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.5.5.1
Hamby 224 Clone,Test Set 5/Barrel 5/Bullet 2,HS224 Clone - Test Set 5 - Barrel 5 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.5.5.2
Hamby 224 Clone,Test Set 5/Bullet L,HS224 Clone - Test Set 5 - Bullet L - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb224c.5.U.L
Hamby 224 Clone,Test Set 6/Barrel 6/Bullet 1,HS224 Clone - Test Set 6 - Barrel 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.6.6.1
Hamby 224 Clone,Test Set 6/Barrel 6/Bullet 2,HS224 Clone - Test Set 6 - Barrel 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.6.6.2
Hamby 224 Clone,Test Set 6/Bullet G,HS224 Clone - Test Set 6 - Bullet G - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.6.U.G
Hamby 224 Clone,Test Set 7/Barrel 7/Bullet 1,HS224 Clone - Test Set 7 - Barrel 7 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.7.7.1
Hamby 224 Clone,Test Set 7/Barrel 7/Bullet 2,HS224 Clone - Test Set 7 - Barrel 7 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.7.7.2
Hamby 224 Clone,Test Set 7/Bullet J,HS224 Clone - Test Set 7 - Bullet J - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb224c.7.U.J
Hamby 224 Clone,Test Set 8/Barrel 8/Bullet 1,HS224 Clone - Test Set 8 - Barrel 8 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,hmb224c.8.8.1
Hamby 224 Clone,Test Set 8/Bullet R,HS224 Clone - Test Set 8 - Bullet R - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.8.U.R
Hamby 224 Clone,Test Set 9/Barrel 9/Bullet 1,HS224 Clone - Test Set 9 - Barrel 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.9.9.1
Hamby 224 Clone,Test Set 9/Barrel 9/Bullet 2,HS224 Clone - Test Set 9 - Barrel 9 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.9.9.2
Hamby 224 Clone,Test Set 9/Bullet S,HS224 Clone - Test Set 9 - Bullet S - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,hmb224c.9.U.S
