study,bullet_dir,filename,bullet_code
Carney Study,FMJ/Bullet 2A,Carney Study - FMJ - Bullet 2A - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,car.2A
Carney Study,FMJ/Bullet 2B,Carney Study - FMJ - Bullet 2B - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,car.2B
Carney Study,FMJ/Bullet 2C,Carney Study - FMJ - Bullet 2C - Land 1 - Sneox 2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,car.2C
Carney Study,FMJ/Bullet 2D,Carney Study - FMJ - Bullet 2D - Land 1 - Sneox 2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,car.2D
Carney Study,FMJ/Bullet 2E,Carney Study - FMJ - Bullet 2E - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,car.2E
