study,bullet_dir,filename,bullet_code
Clones 224 2,Set 1/Unknown/Bullet P,Clones 224 2 - Set 1 - Unknown - Bullet P - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.P
Clones 224 2,Set 1/Unknown/Bullet Q,Clones 224 2 - Set 1 - Unknown - Bullet Q - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.Q
Clones 224 2,Set 1/Unknown/Bullet R,Clones 224 2 - Set 1 - Unknown - Bullet R - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.R
Clones 224 2,Set 1/Unknown/Bullet S,Clones 224 2 - Set 1 - Unknown - Bullet S - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.S
Clones 224 2,Set 1/Unknown/Bullet T,Clones 224 2 - Set 1 - Unknown - Bullet T - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.1.U.T
Clones 224 2,Set 1/Unknown/Bullet U,Clones 224 2 - Set 1 - Unknown - Bullet U - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.U
Clones 224 2,Set 1/Unknown/Bullet V,Clones 224 2 - Set 1 - Unknown - Bullet V - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.V
Clones 224 2,Set 1/Unknown/Bullet W,Clones 224 2 - Set 1 - Unknown - Bullet W - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.W
Clones 224 2,Set 1/Unknown/Bullet Z,Clones 224 2 - Set 1 - Unknown - Bullet Z - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.1.U.Z
Clones 224 2,Set 2/Barrel 1/Bullet 1,Clones 224 2 - Set 2 - Barrel 1 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.1.1
Clones 224 2,Set 2/Barrel 1/Bullet 2,Clones 224 2 - Set 2 - Barrel 1 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,cln2242.2.1.2
Clones 224 2,Set 2/Barrel 10/Bullet 1,Clones 224 2 - Set 2 - Barrel 10 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p,cln2242.2.10.1
