study,bullet_dir,filename,bullet_code
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 2/Bullet 1,CSAFE Persistence - SW - SW 2 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.2.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 2/Bullet 2,CSAFE Persistence - SW - SW 2 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.2.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 2/Bullet 3,CSAFE Persistence - SW - SW 2 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.2.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 3/Bullet 1,CSAFE Persistence - SW - SW 3 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.3.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 3/Bullet 2,CSAFE Persistence - SW - SW 3 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.3.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 3/Bullet 3,CSAFE Persistence - SW - SW 3 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.3.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 4/Bullet 1,CSAFE Persistence - SW - SW 4 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.4.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 4/Bullet 2,CSAFE Persistence - SW - SW 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.4.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 4/Bullet 3,CSAFE Persistence - SW - SW 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.4.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 5/Bullet 1,CSAFE Persistence - SW - SW 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.5.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 5/Bullet 2,CSAFE Persistence - SW - SW 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.5.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 5/Bullet 3,CSAFE Persistence - SW - SW 5 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.5.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 6/Bullet 1,CSAFE Persistence - SW - SW 6 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,cspsw.6.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 6/Bullet 2,CSAFE Persistence - SW - SW 6 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.6.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 6/Bullet 3,CSAFE Persistence - SW - SW 6 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.6.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 7/Bullet 1,CSAFE Persistence - SW - SW 7 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.7.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 7/Bullet 2,CSAFE Persistence - SW - SW 7 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.7.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 7/Bullet 3,CSAFE Persistence - SW - SW 7 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Carley McConnell.x3p,cspsw.7.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 8/Bullet 1,CSAFE Persistence - SW - SW 8 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.8.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 8/Bullet 2,CSAFE Persistence - SW - SW 8 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20%  - threshold 2 - resolution 4 - Anyesha Ray.x3p,cspsw.8.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 8/Bullet 3,CSAFE Persistence - SW - SW 8 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.8.3
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 9/Bullet 1,CSAFE Persistence - SW - SW 9 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,cspsw.9.1
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 9/Bullet 2,CSAFE Persistence - SW - SW 9 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Allison Mark.x3p,cspsw.9.2
CSAFE Persistence/SW,/Volumes/research/csafe-firearms/bullet-scans/CSAFE Persistence/SW/SW 9/Bullet 3,CSAFE Persistence - SW - SW 9 - Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Jozef Lamfers.x3p,cspsw.9.3
