study,bullet_dir,filename,bullet_code
Hamby Set X,Test Set 4/Known/Bullet 1,Hamby Set X - Test Set 4 - Known - Bullet 1- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.4.K.1
Hamby Set X,Test Set 4/Known/Bullet 2,Hamby Set X - Test Set 4 - Known - Bullet 2- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.4.K.2
Hamby Set X,Test Set 4/Questioned/Bullet V,Hamby Set X - Test Set 4 - Questioned - Bullet V - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.4.Q.V
Hamby Set X,Test Set 5/Known/Bullet 1,Hamby Set X - Test Set 5 - Known - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.5.K.1
Hamby Set X,Test Set 5/Known/Bullet 2,Hamby Set X - Test Set 5 - Known - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.5.K.2
Hamby Set X,Test Set 5/Questioned/Bullet L,Hamby Set X - Test Set 5 - Questioned - Bullet L - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Marco Yepez.x3p,hmbx.5.Q.L
Hamby Set X,Test Set 6/Known/Bullet 1,Hamby Set X - Test Set 6 - Known - Bullet 1- Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.6.K.1
Hamby Set X,Test Set 6/Known/Bullet 2,Hamby Set X - Test Set 6 - Known - Bullet 2- Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.6.K.2
Hamby Set X,Test Set 6/Questioned/Bullet G,Hamby Set X - Test Set 6 - Questioned - Bullet G - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.6.Q.G
Hamby Set X,Test Set 7/Known/Bullet 1,Hamby Set X - Test Set 7 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.7.K.1
Hamby Set X,Test Set 7/Known/Bullet 2,Hamby Set X - Test Set 7 - Known - Bullet 2 - Land 3 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.7.K.2
Hamby Set X,Test Set 7/Questioned/Bullet J,Hamby Set X - Test Set 7 - Questioned - Bullet J - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.7.Q.J
Hamby Set X,Test Set 8/Known/Bullet 1,Hamby Set X - Test Set 8- Known - Bullet 1- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.8.K.1
Hamby Set X,Test Set 8/Known/Bullet 2,Hamby Set X - Test Set 8- Known - Bullet 2- Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Sammi Springer.x3p,hmbx.8.K.2
Hamby Set X,Test Set 8/Questioned/Bullet R,Hamby Set X - Test Set 8 - Questioned - Bullet R - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.8.Q.R
Hamby Set X,Test Set 9/Known/Bullet 1,Hamby Set X - Test Set 9 - Known - Bullet 1 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.9.K.1
Hamby Set X,Test Set 9/Known/Bullet 2,Hamby Set X - Test Set 9 - Known - Bullet 2 - Land 1 - Sneox 1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.9.K.2
Hamby Set X,Test Set 9/Questioned/Bullet S,Hamby Set X - Test Set 9 - Questioned - Bullet S - Land 1 - Sneox 2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Mark Mosher.x3p,hmbx.9.Q.S
