study,bullet_dir,filename,bullet_code
DFSC,Comparison Set 1/3K/Bullet 1,DFSC - Comparison Set 1 - 3K Bullet 1- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c1.1
DFSC,Comparison Set 1/3K/Bullet 2,DFSC - Comparison Set 1 - 3K Bullet 2- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c1.2
DFSC,Comparison Set 1/3K/Bullet 3,DFSC - Comparison Set 1 - 3K Bullet 3- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c1.3
DFSC,Comparison Set 2/1Q/Bullet 1,DFSC - Comparison Set 2- IQ - Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c2.IQ
DFSC,Comparison Set 2/3K/Bullet 1,DFSC - Comparison Set 2- 3K Bullet 1 - Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c2.1
DFSC,Comparison Set 2/3K/Bullet 2,DFSC - Comparison Set 2- 3K Bullet 2- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c2.2
DFSC,Comparison Set 2/3K/Bullet 3,DFSC - Comparison Set 2- 3K Bullet 3- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c2.3
DFSC,Comparison Set 3/1Q/Bullet 1,DFSC - Comparison Set 3- IQ- Land 1- Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Sammi Springer.x3p,dfsc.c3.IQ
DFSC,Comparison Set 3/3K/Bullet 1,DFSC - Comparison Set 3 - 3k Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.plux.x3p,dfsc.c3.1
DFSC,Comparison Set 3/3K/Bullet 2,DFSC - Comparison Set 3 - 3k Bullet 2- Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p,dfsc.c3.2
DFSC,Comparison Set 3/3K/Bullet 3,DFSC - Comparison Set 3 - 3k Bullet 3 - Land 1 - Sneox1 - 20x - auto light left image + 20% x 10 - threshold 2 - resolution 4 - Mark Mosher.x3p,dfsc.c3.3
