"study","barrel","bullet","land","bullet_dir","filename"
"Houston 2023","Barrel A","Bullet 11","Land","Barrel A/Bullet 11/Land","Houston - Barrel A - Bullet 11 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 -Mitch Mead.x3p"
"Houston 2023","Barrel A","Bullet 12","Land","Barrel A/Bullet 12/Land","Houston - Barrel A - Bullet 12 - Land 1 - Sneox2 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 -Mitch Mead.x3p"
"Houston 2023","Barrel A","Bullet 13","Land","Barrel A/Bullet 13/Land","Houston - Barrel A- Bullet 13- Land 1- Sneox2 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 - Karissa Lageson.x3p"
"Houston 2023","Barrel B","Bullet 11","Land","Barrel B/Bullet 11/Land","Houston - Barrel B - Bullet 11 - Land 1 - Sneox2 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 -Mitch Mead.x3p"
"Houston 2023","Barrel B","Bullet 12","Land","Barrel B/Bullet 12/Land","Houston - Barrel B - Bullet 12 - Land 1 - Sneox2 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 -Mitch Mead.x3p"
"Houston 2023","Barrel B","Bullet 13","Land","Barrel B/Bullet 13/Land","Houston - Barrel B - Bullet 13 - Land 1 - Sneox2 - 20x - auto light left image +20% x 10 - threshold 2 - resolution 4 -Mitch Mead.x3p"
