"filename","filepath","left_groove","right_groove","crosscut_y","manual_selection","timestamp"
"Barrel_1-Bullet_2-Land_1.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_1.x3p",225,2000,201.5625,TRUE,"2026-01-23 10:22:40.30124"
"Barrel_1-Bullet_2-Land_2.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_2.x3p",225,2000,151.5625,TRUE,"1769185372.13018"
"Barrel_1-Bullet_2-Land_3.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_3.x3p",200,2075,151.5625,TRUE,"1769185386.84388"
"Barrel_1-Bullet_2-Land_4.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_4.x3p",225,2100,151.5625,TRUE,"1769185401.23305"
"Barrel_1-Bullet_2-Land_5.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_5.x3p",225,1950,151.5625,TRUE,"1769185413.73261"
"Barrel_1-Bullet_2-Land_6.x3p","examples/Hamby-44/barrel 1/Bullet 2//Barrel_1-Bullet_2-Land_6.x3p",250,2100,151.5625,TRUE,"1769185423.62069"
