"filename","filepath","left_groove","right_groove","crosscut_y","manual_selection","timestamp"
"HFSCP-BA-B30-L1.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L1.x3p",250,1600,203.175,TRUE,"2026-01-23 10:26:42.827284"
"HFSCP-BA-B30-L2.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L2.x3p",200,1481,158.67,TRUE,"1769185615.68781"
"HFSCP-BA-B30-L3.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L3.x3p",100,1327.41,150.93,TRUE,"1769185627.96357"
"HFSCP-BA-B30-L4.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L4.x3p",150,1500,176.085,TRUE,"1769185640.56743"
"HFSCP-BA-B30-L5.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L5.x3p",250,1500,203.175,TRUE,"1769185653.07264"
"HFSCP-BA-B30-L6.x3p","examples/Houston/Barrel A/Bullet 30//HFSCP-BA-B30-L6.x3p",150,1525,150.93,TRUE,"1769185664.32388"
