"filename","filepath","left_groove","right_groove","crosscut_y","manual_selection","timestamp"
"HFSCP-BA-B50-L1.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L1.x3p",275,1650,170.28,TRUE,"2026-01-23 10:28:12.493224"
"HFSCP-BA-B50-L2.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L2.x3p",375,1650,150.93,TRUE,"1769185706.07042"
"HFSCP-BA-B50-L3.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L3.x3p",275,1581.379,150.93,TRUE,"1769185718.20888"
"HFSCP-BA-B50-L4.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L4.x3p",375,1700,150.93,TRUE,"1769185727.21586"
"HFSCP-BA-B50-L5.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L5.x3p",225,1500,150.93,TRUE,"1769185741.61132"
"HFSCP-BA-B50-L6.x3p","examples/Houston/Barrel A/Bullet 50//HFSCP-BA-B50-L6.x3p",275,1550,214.785,TRUE,"1769185752.4002"
