"filename","filepath","left_groove","right_groove","crosscut_y","manual_selection","timestamp"
"HFSCP-BA-B11-L1.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L1.x3p",250,1650,150.93,TRUE,"2026-01-23 10:25:13.045783"
"HFSCP-BA-B11-L2.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L2.x3p",250,1650.797,150.93,TRUE,"1769185527.66213"
"HFSCP-BA-B11-L3.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L3.x3p",275,1650.797,150.93,TRUE,"1769185544.27921"
"HFSCP-BA-B11-L4.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L4.x3p",275,1650,150.93,TRUE,"1769185560.85857"
"HFSCP-BA-B11-L5.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L5.x3p",229.539375,1606.775625,150.93,FALSE,"1769185563.73311"
"HFSCP-BA-B11-L6.x3p","examples/Houston/Barrel A/Bullet 11//HFSCP-BA-B11-L6.x3p",235.828125,1650.796875,150.93,FALSE,"1769185566.74237"
