"filename","filepath","left_groove","right_groove","crosscut_y","manual_selection","timestamp"
"Barrel_1-Bullet_1-Land_1.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_1.x3p",275,2150,151.5625,TRUE,"2026-01-23 10:20:43.979512"
"Barrel_1-Bullet_1-Land_2.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_2.x3p",150,2000,151.5625,TRUE,"1769185260.01349"
"Barrel_1-Bullet_1-Land_3.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_3.x3p",225,2100,151.5625,TRUE,"1769185274.32874"
"Barrel_1-Bullet_1-Land_4.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_4.x3p",250,2100,151.5625,TRUE,"1769185289.09421"
"Barrel_1-Bullet_1-Land_5.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_5.x3p",225,2100,176.5625,TRUE,"1769185300.0461"
"Barrel_1-Bullet_1-Land_6.x3p","examples/Hamby-44/barrel 1/Bullet 1//Barrel_1-Bullet_1-Land_6.x3p",250,2100,326.5625,TRUE,"1769185315.94656"
